BL_A01: 1409.423,-194.4105,1122.09,-313.9228,2,1
BL_A02: 1494.423,219.5895,1150.09,292.0774,2,1
BL_A03: 1544.425,114.5893,1216.09,150.0769,1,1
BL_A04: -1107.001,124.4581,-1168.953,281.2254,1,1
BL_A05: 427.6063,359.675,223.7525,419.6603,1,1
BL_A06: -1158.989,-32.50235,-862.9435,21.89382,2,1
BL_A07: 1192.423,-197.4105,936.0907,-312.9228,2,1
BL_A08: 1457.423,87.58936,1115.09,-15.92282,2,1
BL_A09: 167.606,62.67501,-18.24712,214.6603,0,1
BL_A10: -693.9895,87.49765,-353.9431,153.8936,2,1
BL_A11: 943.823,132.3728,699.0404,203.9773,1,1
BL_A12: -1005.989,-34.50235,-698.9431,20.89382,2,1
BL_A13: 2488.424,103.5893,1957.09,147.0769,1,1
BL_A14: -2112.99,323.4979,-1521.943,324.8941,2,1
BL_A15: 946.8965,237.8294,693.8264,378.8863,1,1
BL_A16: -694.4087,-30.98143,-355.8943,13.31859,2,1
BL_B02: 1151.323,-458.2108,912.7906,-534.5231,2,1
BL_B03: 766.5436,-162.7,593.0027,-405.4961,1,1
BL_B04: -849.9895,30.49782,-522.9431,51.8938,2,1
BL_B05: -694.0023,-203.5418,-355.9532,-191.7745,2,1
BL_B06: -472.0023,-333.5418,-243.9529,-375.7746,2,1
BL_B07: 853.7536,342.8296,567.9978,531.8862,1,1
BL_B08: 890.4514,-512.9689,674.5432,-540.2341,2,1
BL_B09: 1383.189,-47.16439,1013,-160.4231,2,1
BL_C01: 1244.323,132.7895,819.7906,158.4771,1,1
BL_C02: -1937.177,185.3727,-1363.96,155.977,2,1
BL_C03: -544.4568,-33.49622,-209.1804,-69.72916,2,1
BL_C04: 717.6405,-30.25613,465.5111,59.83245,2,1
BL_C05: 766.5432,122.2999,568.0027,217.5039,1,1
BL_C06: -234.0475,-376.6661,-6.395797,-534.881,2,1
BL_C07: 620.3323,-629.0167,554.0905,-700.4482,2,1
BL_C08: -294.0281,-74.13834,-62.17168,-227.51,1,1
BL_C09: 289.9719,-97.33829,63.76146,-228.51,1,1
BL_D02: 32.59156,190.0186,-264.8943,289.3187,1,1
BL_D03: 190.4716,-517.3655,132.5556,-537.1694,2,1
BL_D04: -722.1761,137.7909,-816.2557,287.0621,1,1
BL_D05: 201.5179,145.4787,448.5497,182.2447,0,1
BL_E02: 2017.029,125.6339,1376.028,151.3185,1,1
BL_E03: -56.75043,-25.5938,-63.00105,60.50072,2,1
BL_E04: -1411.069,78.06573,-1173.257,151.6922,2,1
BL_F02: 427.6063,191.675,121.7527,204.6602,1,1
BL_F03: 243.5179,-152.5213,519.5497,-154.7553,0,1
BL_FG1: -132.4821,-92.52122,294.5497,-75.75529,0,1
BL_FG2: -356.4821,-56.52121,178.5497,-53.75529,0,1
BL_S01: 1163.423,-95.41061,874.0901,-165.9228,2,0
BL_S02: -2233.99,406.4979,-1525.943,459.8941,2,0
BL_S03: -520.0023,-440.5421,-213.9529,-223.7745,2,0
BL_S04: 776.7536,317.8296,569.9978,679.8862,2,0
BL_TM01: -2155.336,31.91005,-1634.893,-149.9668,1,1
BL_TM02: -1647.854,114.7188,-1304.652,-75.05148,1,1
BL_TM03: -1718.417,-4.906229,-1258.444,-227.9056,1,1
BL_TM04: -2377.336,-36.08995,-1764.893,-151.9668,1,1
GATE_BL_GW: 2640.423,106.5893,2099.09,152.0769,1,0
GATE_BL_TM: -2533.336,-36.08995,-1915.893,-149.9668,1,0
GATE_LF_BL: -2257.003,324.4582,-1682.953,321.2254,2,0
OffScreenDen_BL: 1471.423,68.58926,-595.9099,-159.9227,1,1
Connection: BL_A01,BL_B09,32,33,89,6,1,0
Connection: BL_A01,BL_A07,5,12,42,14,2,3
Connection: BL_A02,BL_A08,9,16,22,32,3,1
Connection: BL_A02,BL_A03,40,3,23,32,3,1
Connection: BL_A03,BL_C01,1,13,145,7,2,0
Connection: BL_A03,BL_E02,46,13,5,9,0,2
Connection: BL_A04,BL_TM02,37,14,168,20,3,3
Connection: BL_A04,BL_D04,132,22,31,19,3,3
Connection: BL_A04,BL_A12,98,16,9,32,3,1
Connection: BL_A05,BL_D05,28,4,28,134,2,0
Connection: BL_A05,BL_F02,19,4,70,69,0,1
Connection: BL_A06,BL_E04,9,32,197,5,1,3
Connection: BL_A06,BL_A12,44,9,2,9,0,2
Connection: BL_A07,BL_S01,5,33,14,19,1,2
Connection: BL_A07,BL_B09,42,33,7,10,1,2
Connection: BL_A07,BL_B02,9,3,23,74,3,1
Connection: BL_A08,BL_B09,22,3,73,32,3,1
Connection: BL_A09,BL_D02,9,32,79,14,1,0
Connection: BL_A10,BL_B04,1,16,51,56,2,0
Connection: BL_A10,BL_C03,45,16,4,98,0,2
Connection: BL_A11,BL_A15,6,31,6,5,1,3
Connection: BL_A11,BL_C01,42,10,6,11,0,2
Connection: BL_A11,BL_C04,19,4,145,32,0,1
Connection: BL_A12,BL_B04,45,14,5,12,0,2
Connection: BL_A13,BL_E02,3,16,251,10,2,0
Connection: BL_A13,GATE_BL_GW,46,11,2,11,0,2
Connection: BL_A14,BL_S02,4,31,22,18,2,1
Connection: BL_A14,GATE_LF_BL,2,11,45,11,2,0
Connection: BL_A14,BL_C02,45,11,3,96,0,2
Connection: BL_A15,BL_B07,2,27,57,3,2,3
Connection: BL_A16,BL_B04,4,19,50,18,2,0
Connection: BL_A16,BL_C03,43,19,5,57,0,2
Connection: BL_B02,BL_B08,11,37,96,30,2,0
Connection: BL_B03,BL_C05,5,74,6,2,1,3
Connection: BL_B03,BL_F03,2,52,146,49,2,0
Connection: BL_B03,BL_C07,23,5,36,109,3,1
Connection: BL_B04,BL_E04,4,56,250,17,2,0
Connection: BL_B05,BL_C03,43,57,5,19,0,2
Connection: BL_B05,BL_B06,43,7,4,30,0,2
Connection: BL_B06,BL_C06,95,30,5,82,0,2
Connection: BL_B06,BL_S03,42,26,32,18,3,1
Connection: BL_B07,BL_S04,25,27,24,24,3,1
Connection: BL_B07,BL_C05,10,11,20,108,3,1
Connection: BL_B08,BL_C07,4,30,42,103,2,1
Connection: BL_C02,BL_E04,41,10,10,9,3,3
Connection: BL_C03,BL_E03,46,53,3,13,0,2
Connection: BL_C04,BL_E03,4,17,252,17,2,0
Connection: BL_C05,BL_F02,3,49,145,9,2,0
Connection: BL_C06,BL_C08,8,109,24,37,1,3
Connection: BL_C06,BL_C09,51,102,6,6,0,2
Connection: BL_C06,BL_D03,52,22,5,21,0,2
Connection: BL_C07,BL_D03,3,107,198,30,2,0
Connection: BL_C08,BL_D04,24,74,213,15,1,3
Connection: BL_C09,BL_F02,4,108,9,7,1,3
Connection: BL_D02,BL_F02,91,44,3,53,0,2
Connection: BL_D02,BL_D04,10,29,219,27,3,3
Connection: BL_D05,BL_F03,43,10,106,49,0,2
Connection: BL_F03,BL_FG1,4,49,95,9,2,0
Connection: BL_FG1,BL_FG2,3,24,45,12,2,0
Connection: BL_TM01,BL_TM02,117,53,30,10,3,3
Connection: BL_TM01,BL_TM03,115,23,11,14,0,2
Connection: BL_TM01,BL_TM04,23,17,37,25,2,0
Connection: BL_TM02,BL_TM03,88,20,37,32,3,1
Connection: BL_TM04,GATE_BL_TM,8,14,45,13,2,0
