CG_Branches1: 22.88803,104.0404,-21.91256,135.0721,1,1
CG_Branches2: 39.88787,301.0403,-15.9125,255.072,1,1
CG_Branches3: 53.88791,535.0402,-11.91265,412.0721,1,1
CG_Bridge: -71.11215,-58.95966,-189.9125,-6.928002,1,1
CG_Bunker: 171.888,755.0402,100.0876,643.0723,0,0
CG_CabinetShelter: 524.6803,-51.64586,556.6022,47.65216,0,0
CG_Drain1: 340.8878,-170.9598,403.0874,-190.928,1,1
CG_Drain2: 188.8882,-195.9598,288.0873,-210.9279,1,1
CG_Drain3: 35.91969,-249.9788,278.5058,-369.6422,1,1
CG_DSShelter: -55.54541,-439.9091,189.2501,-510.3864,1,0
CG_EastBranch: 289.8878,650.0402,225.0873,477.0721,1,1
CG_EastMidpoint: 375.888,437.0403,222.0873,267.072,1,1
CG_EastRoot: 450.888,-44.95969,339.0875,62.07212,1,1
CG_HermitCave: -28.96599,-164.9152,-288.7821,-420.8709,0,1
CG_Hideout: 179.888,622.0402,103.0876,521.0718,0,1
CG_Lab: 431.3367,-305.7423,392.5432,-70.29236,1,1
CG_LabEntrance: 207.8879,98.04021,103.0875,176.0719,0,1
CG_LeftWing: 53.9841,-472.7231,484.4117,-398.4201,2,1
CG_Line1: 14.98405,-598.7231,508.4117,-516.4201,2,0
CG_LRU: 191.8879,-231.9599,45.08761,-50.92806,0,1
CG_LRUCore: 280.4698,-306.109,266.5766,-70.15906,1,1
CG_OtherGate: -174.3197,-117.6458,-368.3974,-283.348,0,0
CG_Pipeworks1: -710.1118,-63.95969,-739.9127,17.0721,1,1
CG_Pipeworks2: -323.112,-20.95968,-394.9127,144.072,0,1
CG_Pipeworks2A: 377.8804,-391.646,703.6025,-386.9478,2,1
CG_Planters: -481.1122,-56.95966,-532.9124,125.072,0,1
CG_RootShelter: 70.91968,-140.9788,6.505763,-290.6422,2,0
CG_Shelter: -416.112,72.04052,-401.9128,268.0721,1,0
CG_SkyLine: 562.1695,-205.9788,885.1808,-161.2921,2,0
CG_Sprinkler: -595.1118,-85.95972,-510.9128,-150.9279,2,1
CG_TallTank: 268.6024,-58.00727,214.754,126.4531,0,1
CG_TreeCore: 187.1941,377.2357,97.50778,323.1859,0,1
CG_Treetop: 176.3689,998.5474,49.8982,890.4177,1,1
CG_TreetopGate: 171.5157,864.3071,101.3291,773.7217,0,0
CG_UScenterE: 239.3689,-80.45216,119.8981,-271.5826,2,1
CG_UScenterW: -102.6311,-93.45216,-108.102,-272.5826,2,1
