GATE_BL_GW: -931.6841,203.2983,-821.4209,711.228,2,0
GATE_DS_GW: -1744.828,-376.3851,-1349.347,-909.8661,0,0
GATE_GW_SL: 2327.172,116.6148,1986.653,151.1336,1,0
GATE_HI_GW: -2193.827,173.6146,-1630.347,102.1336,1,0
GATE_SW_GW: 1935.643,178.68,1382.524,703.3735,2,0
GW_A01: -1581.944,84.08083,-1220.857,85.96924,1,1
GW_A04: -167.9438,17.08071,101.1433,-531.0306,0,1
GW_A05: -1430.944,-22.91928,-1102.857,-189.0307,2,1
GW_A06: -994.9433,-50.9193,-844.8565,-187.0307,2,1
GW_A07: -733.944,-49.9193,-645.8565,-185.0307,2,1
GW_A08: -1208.944,-47.9193,-979.8567,-188.0309,2,1
GW_A10: -557.9437,-58.91927,-485.8569,-186.0307,2,1
GW_A11: 508.0565,143.0804,566.1435,241.9693,1,1
GW_A12: -915.9435,154.0804,-628.8565,249.9693,1,1
GW_A13: 505.0565,44.0807,586.1435,11.96944,1,1
GW_A14: -129.9439,-138.9193,35.14324,-163.0307,1,1
GW_A19: 507.0565,75.0807,223.1433,579.9692,2,1
GW_A20: 951.0667,44.68939,623.1595,549.0663,2,1
GW_A21: 1101.833,44.8596,749.9466,548.6194,2,1
GW_A22: 790.4664,-20.49797,867.9521,27.84572,1,1
GW_A23: 959.3262,-16.63805,998.0524,26.04562,1,1
GW_A24: 1760.945,159.397,1215.581,690.3926,2,1
GW_B01: -1827.944,90.08067,-1479.857,85.96924,1,1
GW_B02: 658.0565,135.0804,372.1432,599.9692,2,1
GW_B03: -149.9439,9.080702,30.14324,-5.030619,1,1
GW_B04: -939.9435,24.0807,-644.8565,10.9696,1,1
GW_B05: 798.056,-14.91928,509.1435,464.9691,2,1
GW_B06: 631.0565,-78.91928,739.1446,-58.03046,1,1
GW_B07: -32.94347,43.08081,247.1427,-545.0305,0,1
GW_B08: 2084.057,115.0806,1724.144,132.9693,1,0
GW_B09: -1515.944,-397.9192,-1232.857,-990.0308,0,1
GW_BL1: -613.6841,186.2983,-689.4209,707.228,2,1
GW_C01: -1269.944,98.08054,-1084.857,97.96924,1,1
GW_C02: 173.056,69.08064,210.1429,49.96928,1,1
GW_C03: 979.0562,166.0804,549.1435,688.9692,2,1
