GATE_HI_CC: 316.4567,703.3918,347.8153,819.0598,1,0
GATE_HI_CG: -253.1697,64.35844,-87.16987,516.4528,0,0
GATE_HI_GW: 769.0518,-73.34609,626.4584,-650.3688,0,0
GATE_HI_SH: 1979.661,-60.7852,1689.629,170.997,1,0
GATE_SU_HI: -1059.339,-186.7851,-933.3707,57.9972,1,0
HI_A04: 71.00365,-231.4626,174.1752,-389.9956,2,1
HI_A06: 270.0036,-87.19923,108.938,-687.7057,0,1
HI_A07: -728.9958,-83.19939,-655.0615,122.2941,1,1
HI_A10: 267.0036,272.801,186.9385,440.2942,1,1
HI_A11: 417.0039,29.8007,335.9383,236.294,1,1
HI_A14: -730.9958,26.80067,-645.0615,235.294,1,1
HI_A15: -728.9958,177.8009,-644.0615,354.2942,1,1
HI_A16: -254.9965,-306.199,-264.0615,-830.7057,0,1
HI_A17: -420.9964,-305.199,-422.0617,-830.7057,0,1
HI_A18: -387.9964,-88.19923,-420.0617,-682.7057,0,1
HI_A19: 607.0037,-90.19923,457.9383,-684.7057,0,1
HI_A20: -613.9958,178.8009,-491.0618,386.2942,1,1
HI_A21: 48.00386,-188.1991,93.93823,70.29453,1,0
HI_A22: -416.9963,425.801,-339.0616,-52.70583,2,1
HI_A23: -594.9958,-304.199,-577.0615,-826.7057,0,1
HI_A24: 439.0042,-87.19923,278.9383,-676.7057,0,1
HI_A25: -236.9966,-201.1991,-233.0617,79.29443,1,1
HI_A26: -56.9961,-332.199,18.93852,-490.7058,2,1
HI_A27: -99.67798,-305.114,-109.2766,-830.3778,0,1
HI_B02: -403.9964,451.801,-344.0617,688.2943,0,1
HI_B03: -151.9964,265.801,-178.0615,357.2942,1,1
HI_B04: -889.9958,-141.1991,-793.0615,44.29444,1,1
HI_B05: -237.9961,-138.1993,-153.0615,-385.7058,2,1
HI_B06: 168.0036,36.80067,79.93823,243.294,1,1
HI_B07: 744.0042,195.8009,649.9385,413.2942,1,1
HI_B08: -327.9964,35.80074,-333.0617,242.294,1,1
HI_B09: 505.0043,248.8009,489.9383,392.2942,1,1
HI_B12: -880.9958,117.8008,-781.0615,284.2942,1,1
HI_B13: -795.9958,359.801,-714.0615,503.2943,1,1
HI_B14: 798.0034,-26.1993,768.9385,153.294,1,1
HI_B15: 302.004,-340.199,366.9381,-461.7058,2,1
HI_C01: -404.9964,271.801,-332.0617,411.2942,1,1
HI_C02: -561.9958,-92.19924,-492.0618,49.29438,1,1
HI_C03: 595.0042,-95.19936,488.9383,71.29449,1,1
HI_C04: -68.99619,-102.1994,-74.06161,54.29443,1,1
HI_C05: -58.99626,-92.19923,-261.0615,-668.7057,0,1
HI_C11: 369.0036,457.801,331.9384,467.2942,1,1
HI_C13: 1683.147,-78.01267,1361.835,159.261,1,1
HI_C14: -361.758,167.986,-341.8365,-358.0178,2,1
HI_CG_WestTower: -401.1698,223.3585,-204.1699,592.4528,0,1
HI_D01: 1187.002,-74.19936,923.9391,160.294,1,1
HI_S01: -604.3384,262.215,-483.3711,500.9972,1,0
HI_S02: 44.31717,-244.3055,94.2803,-62.70753,1,0
HI_S03: -921.5779,-302.517,-809.1644,-76.43278,1,0
HI_S04: 441.9324,-198.8789,283.8358,-796.4329,0,0
HI_S05: 366.4324,257.5587,337.7733,354.5671,1,0
HI_S06: 1688.887,-138.2927,1469.835,26.66111,1,0
OffScreenDen_HI: -418.9964,-238.1989,146.9383,785.2943,1,1
Connection: GATE_HI_CC,HI_C11,36,5,22,117,3,1
Connection: GATE_HI_CG,HI_CG_WestTower,11,19,39,4,1,0
Connection: GATE_HI_GW,HI_A19,11,5,50,10,3,0
Connection: GATE_HI_SH,HI_C13,2,11,147,17,2,0
Connection: GATE_SU_HI,HI_B04,45,9,5,16,0,2
Connection: HI_A04,HI_A26,5,3,45,30,3,1
Connection: HI_A04,HI_B15,33,17,7,30,3,1
Connection: HI_A06,HI_A24,50,29,5,29,0,2
Connection: HI_A06,HI_C05,3,22,153,25,2,0
Connection: HI_A07,HI_A14,19,31,16,1,1,3
Connection: HI_A07,HI_B04,3,3,49,44,2,0
Connection: HI_A07,HI_C02,50,3,3,49,0,2
Connection: HI_A10,HI_C11,42,26,11,17,1,3
Connection: HI_A10,HI_S05,42,5,18,10,3,3
Connection: HI_A10,HI_B06,10,7,66,34,3,1
Connection: HI_A11,HI_B06,3,20,97,19,2,0
Connection: HI_A11,HI_C03,43,20,3,105,0,2
Connection: HI_A14,HI_A15,16,31,16,4,1,3
Connection: HI_A14,HI_C02,43,19,3,102,0,2
Connection: HI_A15,HI_B13,16,30,44,42,1,3
Connection: HI_A15,HI_A20,43,18,13,18,0,2
