GATE_DS_LW: -1681.477,414.7527,-1190.653,379.8526,1,0
GATE_SH_LW: 2166.674,-120.8761,1562.657,-84.21501,0,0
LW_A01: -1519.476,324.7527,-1076.653,318.8526,1,1
LW_A02: -1518.476,157.7526,-1067.653,130.8528,1,1
LW_A03: -1292.477,39.7526,-919.6528,66.85277,1,1
LW_A04: -1010.477,54.75261,-758.6528,96.85277,1,1
LW_A05: -690.4774,89.75263,-500.6529,66.85281,1,1
LW_A06: -382.4775,33.75257,-348.6533,83.8528,1,1
LW_A07: -1275.477,-91.24723,-892.6528,-50.1475,1,1
LW_A08: -1014.477,-111.2471,-759.6528,-57.14708,1,1
LW_A09: -737.4774,-116.4291,-502.4713,-59.69254,1,1
LW_A10: -562.4769,-272.429,-380.4713,-243.6927,1,1
LW_A11: -352.4772,-310.429,-250.4713,-187.6927,1,1
LW_A12: -231.0628,-187.9814,-213.5533,-376.557,1,1
LW_A13: -456.55,429.275,-375.425,267.725,0,1
LW_B01: -94.69114,-220.2864,-125.8279,-184.55,0,1
LW_B02: 248.3091,-218.2864,24.17199,-121.5498,0,1
LW_B03: 94.99632,51.08869,53.60941,1.575183,0,1
LW_B04: 95.99632,282.089,56.05376,229.6863,0,1
LW_B05: -104.109,65.87814,-80.31458,64.47574,0,1
LW_B06: -101.359,197.7781,-75.86451,275.9259,0,1
LW_B07: -99.16874,313.2071,-87.43594,401.3067,0,1
LW_B08: -281.1686,431.2071,-271.4362,383.3067,0,1
LW_B09: -89.77745,530.9459,-89.17506,521.2631,0,1
LW_B10: -87.13743,813.4661,-88.17506,647.3034,0,1
LW_C01: 685.605,-193.7577,396.9797,-136.7438,0,1
LW_C02: 914.14,-343.9362,527.9443,-337.9223,1,1
LW_C03: 1348.864,-343.092,774.0134,-321.7421,1,1
LW_C04: 1351.497,-376.4254,905.6464,-460.1422,2,1
LW_C05: 1427.497,-371.4254,1017.647,-446.1422,2,1
LW_C06: 969.3499,-209.6608,666.6464,-137.6422,0,1
LW_C07: 1239.779,-208.1179,844.8749,-142.0708,0,1
LW_C08: 1646.864,-206.0921,1141.013,-157.7422,0,1
LW_C09: 1930.916,-204.1734,1299.819,-132.4042,0,1
LW_C10: 1258.497,-373.4254,792.6464,-441.1422,2,1
LW_S01: -1680.477,165.7526,-1183.653,177.8528,1,0
LW_S02: -445.7774,325.946,-387.1754,401.2631,0,0
LW_S03: 285.9963,-319.9113,162.6095,-238.4248,0,0
LW_S04: 1645.497,-236.4255,1158.646,-278.1422,2,0
OffScreenDen_LW: -1601.476,313.753,241.347,79.8528,1,1
Connection: GATE_DS_LW,LW_A01,36,5,4,27,3,2
Connection: GATE_SH_LW,LW_C09,11,5,106,22,3,0
Connection: LW_A01,LW_A02,43,4,38,68,3,0
Connection: LW_A02,LW_S01,9,35,39,11,2,0
Connection: LW_A02,LW_A03,54,13,4,18,3,2
Connection: LW_A03,LW_A04,62,18,8,11,3,2
Connection: LW_A03,LW_A07,36,14,20,26,3,1
Connection: LW_A04,LW_A05,114,17,9,26,0,2
Connection: LW_A04,LW_A08,45,25,47,27,2,1
Connection: LW_A05,LW_A13,64,57,41,1,0,3
Connection: LW_A05,LW_A09,3,41,10,32,2,1
Connection: LW_A05,LW_A06,64,22,3,20,0,2
Connection: LW_A06,LW_B05,115,15,3,8,0,2
Connection: LW_A07,LW_A08,44,15,8,21,0,2
Connection: LW_A08,LW_A09,113,18,6,18,0,2
Connection: LW_A09,LW_A10,41,17,3,107,0,2
Connection: LW_A10,LW_A11,48,49,5,20,0,2
Connection: LW_A11,LW_A12,26,30,13,11,1,2
Connection: LW_A11,LW_B01,43,23,7,13,0,2
Connection: LW_A13,LW_B08,44,29,2,55,0,2
Connection: LW_B01,LW_B05,46,73,43,1,1,3
Connection: LW_B01,LW_B02,51,42,10,19,0,2
Connection: LW_B02,LW_B03,28,26,14,3,1,3
Connection: LW_B02,LW_C01,155,21,10,29,0,2
Connection: LW_B02,LW_S03,76,5,7,12,0,2
Connection: LW_B03,LW_B04,5,73,7,3,1,3
Connection: LW_B03,LW_B05,2,47,44,21,2,0
Connection: LW_B04,LW_B09,3,70,36,6,2,0
Connection: LW_B04,LW_B06,3,31,45,17,2,0
Connection: LW_B05,LW_B06,8,31,7,14,1,3
Connection: LW_B06,LW_B07,17,31,3,17,1,2
Connection: LW_B07,LW_B08,3,26,57,11,2,0
Connection: LW_B08,LW_B09,57,57,11,8,0,2
Connection: LW_B08,LW_S02,2,29,42,16,2,0
Connection: LW_B09,LW_B10,19,30,18,6,1,3
Connection: LW_C01,LW_C06,114,11,14,9,0,2
Connection: LW_C01,LW_C02,80,9,10,10,3,3
Connection: LW_C02,LW_C03,116,12,2,13,3,3
Connection: LW_C03,LW_C04,87,14,21,27,3,1
Connection: LW_C03,LW_C08,162,16,13,12,0,3
Connection: LW_C04,LW_C05,37,18,14,13,0,2
Connection: LW_C04,LW_C10,11,13,38,12,2,0
Connection: LW_C06,LW_C07,52,4,5,5,3,3
Connection: LW_C07,LW_C08,108,6,3,14,0,2
Connection: LW_C08,LW_C09,58,23,18,8,0,2
Connection: LW_C08,LW_S04,30,12,24,21,3,1
