GATE_LF_SU: -2015.416,50.51183,-1623.84,215.8515,1,0
GATE_SU_DS: -525.4153,-474.4882,-640.8412,-617.1486,2,0
GATE_SU_FI: 1459.278,460.6755,1416.645,591.6613,2,0
GATE_SU_HI: 156.7584,282.2141,219.0278,540.5212,1,0
GATE_SU_UB: 426.0198,457.7961,-355.3549,-358.3387,1,0
SU_A000: 536.0198,457.7961,-463.3549,-616.3387,1,1
SU_A02: 872.5019,-34.89368,881.2589,-24.49856,0,1
SU_A04: -845.4975,-261.894,-871.7411,-375.4987,2,1
SU_A06: 376.5023,-27.89369,375.2593,-14.49856,0,1
SU_A07: -1236.499,20.10636,-1021.741,174.5014,1,1
SU_A10: -487.4977,-290.894,-544.741,-379.4987,2,1
SU_A12: -664.4975,274.1061,-532.741,431.5015,1,1
SU_A13: -498.4979,390.1061,-438.7407,588.501,1,1
SU_A17: 1205.501,35.10629,1147.26,239.5014,1,1
SU_A20: -82.49791,66.10616,-49.74055,283.5014,1,1
SU_A22: 359.5021,-364.8939,522.2595,-488.4987,0,0
SU_A23: 462.5022,-256.894,591.2589,-331.4987,0,0
SU_A24: 634.5025,-257.894,730.2589,-331.4987,0,0
SU_A25: 635.5025,-146.894,710.2589,-184.4987,0,0
SU_A29: -240.4977,49.10629,-214.7408,292.5014,1,1
SU_A30: -847.4975,-373.8939,-867.7411,-498.4987,2,1
SU_A31: -434.4977,40.10625,-361.7407,93.50143,1,1
SU_A32: -732.4975,-56.8937,-593.7411,107.5017,1,1
SU_A33: 73.50237,66.10616,97.25917,313.5013,1,1
SU_A34: 75.50237,65.10616,97.25917,188.5018,1,1
SU_A35: -233.498,5.106234,-108.7406,138.5014,1,1
SU_A36: 206.5021,-32.89368,217.2594,10.50144,0,1
SU_A37: 550.5025,51.10634,533.2589,250.5014,1,1
SU_A38: 545.5025,-27.89369,546.2589,-74.49832,0,1
SU_A39: 550.5025,-18.89373,542.2589,69.5015,0,1
SU_A40: 1345.501,-12.89374,1306.26,90.50156,0,1
SU_A41: 141.6056,-264.509,330.1174,-334.3356,1,0
SU_A42: 150.6056,-162.5089,341.1174,-209.3357,1,0
SU_A43: 302.6055,-257.5089,467.1174,-334.3356,1,0
SU_A44: 295.6055,-264.509,274.1174,-490.3356,2,0
