GATE_SL_SW: 2552.937,-142.6234,1835.261,-222.305,2,0
GATE_SW_GW: -2852.963,-70.98478,-2023.344,67.30147,2,0
SW_A01: -2188.826,-144.7669,-1661.547,0.5181724,1,1
SW_A02: -1882.827,110.2329,-1407.547,214.518,1,1
SW_A03: -1665.829,-236.7669,-1267.547,-144.4819,1,1
SW_A04: -1277.829,395.2328,-929.5455,351.5184,0,1
SW_A05: -1242.829,-59.76695,-898.5456,-121.4818,1,1
SW_A06: -1645.829,-528.767,-1183.547,-449.4816,1,1
SW_A07: -438.8281,-160.7669,-274.5459,-104.4818,2,1
SW_A08: -1090.829,208.233,-834.5456,217.518,1,1
SW_A09: -726.8285,671.233,-711.5456,537.5183,0,1
SW_A10: -523.8283,386.2328,-347.5459,459.5184,0,1
SW_A11: -671.8282,208.233,-504.5459,224.518,1,1
SW_A12: -1074.829,-756.767,-777.5456,-526.4818,1,1
SW_A13: -733.8285,-701.767,-446.5459,-545.4818,1,1
SW_A14: -343.8279,-522.767,-226.5459,-516.4817,1,1
SW_A15: -1405.829,-702.767,-1002.546,-484.4816,1,1
SW_A16: -171.8281,101.2329,-99.54586,-98.4818,2,1
SW_A17: -80.82813,89.23291,-176.5458,124.518,1,1
SW_A18: 895.1724,74.23291,690.4538,149.518,1,1
SW_A19: 515.1724,106.2329,463.4543,171.518,1,1
SW_A20: 132.1719,-738.767,94.45422,-557.4818,0,1
SW_A21: -436.8281,-507.7671,-454.5459,-231.4817,0,1
SW_A22: 189.1719,-550.767,122.4544,-383.4816,0,1
SW_A23: 663.1724,-620.767,453.4543,-542.4818,1,1
SW_B01: 1313.474,-168.3998,992.2877,-254.1356,1,1
SW_B02: 2148.475,240.6002,1548.287,44.86439,1,1
SW_B03: 1862.474,293.6001,1317.287,135.8644,0,1
SW_B04: 2149.475,594.6003,1553.287,349.8645,1,1
SW_B05: 1589.474,217.6002,1174.287,36.86438,1,1
SW_B06: 1568.474,590.6003,1144.287,355.8645,1,1
SW_B07: 1862.474,808.6003,1280.287,608.8644,1,1
SW_B08: 1549.032,-142.5858,1153.078,-95.9263,1,1
SW_B09: 1797.032,-105.5858,1285.078,-104.9263,1,1
SW_B10: 1865.032,967.4138,1377.078,774.0739,2,1
SW_C01: -1295.164,791.8055,-1212.856,698.7693,1,1
SW_C02: 2381.549,-13.66427,1617.854,-103.5703,2,1
SW_C03: 2357.549,-187.6642,1692.854,-249.5704,2,1
SW_G01: -2624.826,-89.76694,-1863.547,44.51817,1,1
SW_S01: -650.8285,254.233,-361.5459,330.5184,2,0
SW_S02: -665.8285,-717.767,-279.5459,-658.4818,0,0
SW_S03: 1626.173,641.233,1274.453,485.5182,2,0
SW_S40: 710.1724,-712.767,736.4538,-540.4818,0,1
SW_S44: 714.1724,-799.767,545.4538,-675.4818,2,1
SW_T01: -711.8285,683.233,-630.5456,324.5186,2,1
SW_T02: -624.8285,684.233,-823.5456,487.5186,1,1
SW_T03: -831.8285,683.233,-463.5459,484.5186,1,1
OffScreenDen_SW: -2580.826,-416.7672,-1488.547,-69.48176,1,1
Connection: GATE_SL_SW,SW_C02,11,19,115,24,1,3
Connection: GATE_SL_SW,SW_C03,2,9,45,24,2,0
Connection: GATE_SW_GW,SW_G01,45,12,5,17,0,2
Connection: SW_A01,SW_A02,106,35,14,21,3,3
Connection: SW_A01,SW_G01,3,35,64,17,2,0
Connection: SW_A01,SW_A03,182,3,2,24,0,2
Connection: SW_A02,SW_A04,120,33,4,29,1,1
Connection: SW_A03,SW_A05,120,29,2,10,0,2
Connection: SW_A03,SW_A06,60,3,21,110,3,1
Connection: SW_A04,SW_A09,121,28,39,16,1,3
Connection: SW_A04,SW_A08,91,10,90,30,3,1
Connection: SW_A05,SW_A08,47,110,6,7,0,2
Connection: SW_A05,SW_A07,112,13,24,5,0,3
Connection: SW_A06,SW_A15,44,24,6,32,0,1
Connection: SW_A07,SW_A14,2,22,59,108,2,1
Connection: SW_A07,SW_A16,67,22,3,21,0,2
Connection: SW_A08,SW_A11,124,13,5,8,0,3
Connection: SW_A09,SW_C01,11,104,208,23,3,3
Connection: SW_A09,SW_T02,59,92,16,72,0,2
Connection: SW_A09,SW_T03,66,92,29,66,2,0
Connection: SW_A09,SW_T01,54,30,16,10,3,2
Connection: SW_A09,SW_A10,89,16,27,32,3,1
Connection: SW_A10,SW_S01,13,22,27,15,3,1
Connection: SW_A10,SW_A16,121,3,34,65,3,1
Connection: SW_A11,SW_A17,122,7,68,19,3,2
Connection: SW_A12,SW_A15,3,33,66,15,2,0
Connection: SW_A12,SW_A13,122,22,3,6,0,2
Connection: SW_A13,SW_A21,2,21,6,2,2,3
Connection: SW_A13,SW_A14,67,21,2,3,0,3
Connection: SW_A13,SW_S02,37,17,21,18,0,2
Connection: SW_A14,SW_A20,121,3,3,36,0,2
Connection: SW_A17,SW_A19,248,31,2,9,0,2
Connection: SW_A18,SW_A19,8,23,45,12,2,0
Connection: SW_A18,SW_B01,115,13,11,154,3,2
Connection: SW_A20,SW_A23,123,27,2,8,0,2
Connection: SW_A21,SW_A22,248,23,2,36,0,2
Connection: SW_A22,SW_A23,121,19,2,106,0,2
Connection: SW_A23,SW_B01,122,101,4,9,0,2
Connection: SW_A23,SW_S40,71,50,19,20,3,1
Connection: SW_A23,SW_S44,81,13,14,16,3,0
Connection: SW_B01,SW_B05,50,151,4,3,0,3
Connection: SW_B01,SW_B08,46,72,5,5,0,2
Connection: SW_B02,SW_B04,13,111,12,3,2,2
Connection: SW_B02,SW_B03,1,77,81,40,2,0
Connection: SW_B02,SW_C02,44,7,16,38,3,1
Connection: SW_B03,SW_B05,3,28,51,68,2,0
Connection: SW_B03,SW_B09,31,7,61,36,2,0
Connection: SW_B04,SW_B07,15,106,115,1,2,3
Connection: SW_B05,SW_B06,40,107,44,2,0,0
Connection: SW_B06,SW_B07,41,107,5,4,0,2
Connection: SW_B06,SW_S03,18,50,25,6,0,3
Connection: SW_B07,SW_B10,66,22,27,10,0,3
Connection: SW_B08,SW_B09,44,5,4,8,0,2
Connection: SW_C02,SW_C03,37,34,7,8,2,2
Connection: SW_T01,SW_T02,16,51,16,70,2,2
Connection: SW_T01,SW_T03,29,60,29,63,0,0
