CC_A02: -749.1122,-582.9279,-632.8947,-454.8586,1,1
CC_A06: -194.1118,837.0721,-121.8946,774.1418,0,1
CC_A07: -94.1119,-592.9279,-128.8945,-440.8586,1,1
CC_A10: -418.1118,-34.92814,-365.8947,115.1414,1,1
CC_A12: -904.1122,-605.9279,-777.8947,-435.8586,1,0
CC_A15: -202.1118,261.0719,-112.8946,129.1413,0,1
CC_A16: -751.1122,-695.9279,-627.8947,-584.8582,1,0
CC_A17: 704.6842,-588.8947,610.8685,-547.6316,1,1
CC_B01: -420.1118,-247.9279,-371.8947,-116.8587,1,1
CC_B04: 433.8882,637.0721,450.1053,370.1414,1,1
CC_B05: -278.1118,-425.9282,-252.8947,-285.8586,0,1
CC_B06: -423.1118,-515.9279,-370.8947,-328.8586,2,1
CC_B08: -196.1118,-208.9284,-115.8946,-143.8586,0,1
CC_B10: 931.8883,-94.92796,1004.104,-60.85847,2,1
CC_B11: 286.8882,-587.9279,234.1053,-420.8586,2,1
CC_B12: 236.3506,-283.989,203.5362,-200.5203,1,1
CC_B13: 755.932,141.9464,728.0581,78.3828,1,1
CC_B14: 902.6632,-286.9221,785.1378,-222.6377,1,1
CC_C03: 517.8878,-469.9282,471.1053,-443.8586,2,1
CC_C04: 550.8883,333.0716,581.1053,169.1414,1,1
CC_C05: 943.8883,97.07191,857.1053,6.141468,1,1
CC_C07: -206.1118,576.0721,-125.8946,421.1414,0,1
CC_C08: -425.1118,-589.9279,-488.8947,-441.8586,1,1
CC_C09: -556.1119,819.0721,-508.8947,790.1418,0,1
CC_C11: 75.88834,-485.9282,37.10527,-473.8586,1,1
CC_C12: -198.1118,1108.072,-131.8946,932.1418,0,1
CC_C13: 124.1883,258.6595,2.184815,141.3986,2,1
CC_D01: 429.8882,295.0717,320.1054,65.1415,2,1
CC_F01: 569.9578,-284.2609,389.9803,-192.7814,1,1
CC_H01: 456.8885,839.0721,73.10528,758.1418,0,1
CC_S01: -984.6279,-602.4215,-897.5746,-431.3371,1,0
CC_S03: 630.3721,-591.4215,611.4254,-423.3371,2,0
CC_S04: -872.922,707.2845,-602.5746,679.6631,0,0
CC_S05: 433.0493,628.7989,309.7682,449.1486,2,0
GATE_CC_UW: 1068.717,758.1407,833.5191,757.0381,0,0
GATE_HI_CC: -739.2844,-779.8593,-620.4809,-701.9619,1,0
GATE_SI_CC: -924.2844,847.1407,-643.4809,807.0381,0,0
OffScreenDen_CC: -517.1117,413.0718,-602.8947,-89.85863,1,1
Connection: CC_A02,CC_C08,48,12,11,14,0,2
Connection: CC_A02,CC_A12,3,11,36,18,2,0
Connection: CC_A02,CC_A16,19,2,17,35,3,1
Connection: CC_A06,CC_C12,27,29,45,16,3,3
Connection: CC_A06,CC_C09,8,8,134,12,3,3
Connection: CC_A06,CC_H01,43,8,5,8,3,3
Connection: CC_A06,CC_C07,27,5,44,108,3,3
Connection: CC_A07,CC_C08,4,11,142,14,2,0
Connection: CC_A07,CC_C11,33,4,21,11,3,3
Connection: CC_A10,CC_B01,16,5,33,65,3,3
Connection: CC_A12,CC_S01,11,19,29,18,2,0
Connection: CC_A15,CC_C07,25,21,47,17,0,3
Connection: CC_A15,CC_C13,25,17,4,17,0,2
Connection: CC_A15,CC_B08,25,15,10,72,0,3
Connection: CC_A16,GATE_HI_CC,15,3,11,19,3,1
Connection: CC_A17,CC_C03,3,6,47,8,2,0
Connection: CC_B01,CC_B06,24,15,24,75,3,1
Connection: CC_B04,CC_S05,23,58,23,25,3,1
Connection: CC_B04,CC_D01,10,11,13,141,3,2
Connection: CC_B04,CC_C04,38,11,11,108,3,3
Connection: CC_B05,CC_B08,90,29,20,3,3,3
Connection: CC_B05,CC_B06,14,11,27,52,3,3
Connection: CC_B06,CC_C08,27,10,89,13,3,2
Connection: CC_B10,CC_C05,27,52,33,10,3,3
Connection: CC_B10,CC_B14,27,10,37,73,3,3
Connection: CC_B11,CC_C11,7,11,39,20,2,0
Connection: CC_B11,CC_C03,101,6,6,8,0,2
Connection: CC_B12,CC_C11,2,73,43,95,3,3
Connection: CC_B12,CC_F01,41,56,8,63,3,3
Connection: CC_B13,CC_C04,4,55,38,13,3,3
Connection: CC_B13,CC_C05,34,14,10,49,3,3
Connection: CC_B14,CC_F01,7,63,148,73,3,3
Connection: CC_C03,CC_F01,32,107,73,28,0,2
Connection: CC_C03,CC_S03,47,10,20,9,0,2
Connection: CC_C04,CC_D01,17,14,34,53,3,0
Connection: CC_C09,GATE_SI_CC,3,18,45,9,2,0
Connection: CC_C13,CC_D01,149,14,13,56,0,2
Connection: CC_H01,GATE_CC_UW,327,11,2,9,0,2
Connection: CC_S04,GATE_SI_CC,19,24,36,5,2,3
