GATE_HI_CC: 303.6265,709.0334,341.9852,838.607,1,0
GATE_HI_GW: 756.2216,-67.70456,620.6282,-630.8216,0,0
GATE_SU_HI: -1072.169,-181.1436,-939.2009,77.54433,1,0
GATE_HI_SH: 1966.831,-55.14367,1683.799,190.5442,1,0
HI_C13: 1670.317,-72.37115,1356.005,178.8082,1,1
HI_S06: 1676.057,-132.6512,1464.005,46.20825,1,0
HI_B04: -902.826,-135.5576,-798.8917,63.84156,1,1
HI_S03: -934.4081,-296.8755,-814.9946,-56.88565,1,0
HI_B12: -893.826,123.4423,-786.8917,303.8414,1,1
HI_B13: -808.826,365.4425,-719.8917,522.8415,1,1
HI_A15: -741.826,183.4424,-649.8917,373.8414,1,1
HI_A20: -626.826,184.4424,-496.8919,405.8414,1,1
HI_S01: -617.1686,267.8565,-489.2012,520.5444,1,0
HI_A14: -743.826,32.44221,-650.8917,254.8412,1,1
HI_A07: -741.826,-77.55785,-660.8917,141.8413,1,1
HI_C02: -574.826,-86.55772,-497.8919,68.84151,1,1
HI_B02: -416.8266,457.4425,-349.8918,707.8415,0,1
HI_A22: -429.8265,431.4425,-344.8917,-33.15871,2,1
HI_C14: -374.5882,173.6275,-347.6667,-338.4706,2,1
HI_C01: -417.8266,277.4425,-337.8918,430.8414,1,1
HI_B03: -164.8266,271.4425,-177.8917,488.8414,1,1
HI_B08: -340.8266,41.44228,-338.8918,261.8412,1,1
HI_C04: -81.82639,-96.5579,-79.89175,73.84155,1,1
HI_A25: -249.8268,-195.5576,-238.8919,98.84155,1,1
HI_A21: 35.17364,-182.5576,88.10809,89.84167,1,0
HI_S02: 31.48695,-238.664,88.45016,-43.1604,1,0
HI_B06: 155.1734,42.44221,74.10809,262.8412,1,1
HI_A10: 254.1734,278.4425,181.1083,459.8414,1,1
HI_S05: 353.6022,263.2003,331.9431,374.1143,1,0
HI_C11: 356.1734,463.4425,326.1083,486.8414,1,1
HI_B09: 492.1741,254.4424,484.1082,411.8414,1,1
HI_B07: 731.174,201.4424,644.1083,432.8414,1,1
HI_B14: 785.1732,-20.55776,763.1083,172.8412,1,1
HI_D01: 1174.172,-68.55782,918.1088,179.8412,1,1
HI_C03: 582.174,-89.55782,483.1082,90.84161,1,1
HI_A11: 404.1737,35.44224,330.1082,255.8412,1,1
HI_B15: 289.1738,-334.5575,361.108,-442.1586,2,1
HI_A04: 58.17343,-225.8211,168.345,-370.4484,2,1
HI_A26: -69.82632,-326.5575,13.10837,-471.1586,2,1
HI_B05: -250.8263,-132.5578,-158.8917,-366.1586,2,1
HI_A16: -267.8267,-300.5575,-269.8916,-811.1585,0,1
HI_A17: -433.8266,-299.5575,-427.8918,-811.1585,0,1
HI_A27: -112.5082,-299.4725,-115.1067,-810.8306,0,1
HI_A23: -607.826,-298.5575,-582.8917,-807.1585,0,1
HI_A18: -400.8266,-82.55769,-425.8918,-663.1585,0,1
HI_C05: -71.82648,-86.55769,-266.8916,-649.1585,0,1
HI_A06: 257.1734,-81.55769,103.1079,-668.1585,0,1
HI_A24: 426.174,-81.55769,273.1082,-657.1585,0,1
HI_S04: 429.1022,-193.2374,278.0056,-776.8857,0,0
HI_A19: 594.1735,-84.55769,452.1082,-665.1585,0,1
OffScreenDen_HI: -431.8266,-232.5574,141.1081,804.8415,1,1
Connection: GATE_HI_CC,HI_C11,36,5,22,117,3,1
Connection: GATE_HI_GW,HI_A19,11,5,50,10,3,0
Connection: GATE_SU_HI,HI_B04,45,9,5,16,0,2
Connection: GATE_HI_SH,HI_C13,2,11,147,17,2,0
Connection: HI_C13,HI_D01,3,19,190,18,2,0
Connection: HI_C13,HI_S06,81,14,27,25,3,1
Connection: HI_B04,HI_B12,32,74,26,5,0,0
Connection: HI_B04,HI_A07,49,44,3,3,0,2
Connection: HI_B04,HI_S03,8,5,16,23,2,2
Connection: HI_B12,HI_B13,34,75,21,42,1,3
Connection: HI_B13,HI_A15,44,42,16,30,3,1
Connection: HI_A15,HI_A20,43,18,13,18,0,2
Connection: HI_A15,HI_A14,16,4,16,31,3,1
Connection: HI_A20,HI_S01,28,29,24,12,1,3
Connection: HI_A14,HI_C02,43,19,3,102,0,2
Connection: HI_A14,HI_A07,16,1,19,31,3,1
Connection: HI_A07,HI_C02,50,3,3,49,0,2
