GATE_DS_SB: 887.7468,666.558,714.712,536.8916,2,0
GATE_LF_SB: -772.9693,1471.532,-435.2477,1269.613,1,0
GATE_SB_SL: 4540.033,705.5334,3292.752,500.6128,1,0
SB_A01: -621.5285,504.1402,-360.9641,388.8467,2,1
SB_A02: -801.5282,-734.8596,-524.9639,-480.1534,2,2
SB_A03: 42.47155,575.1404,135.0357,495.8466,1,1
SB_A04: -740.5285,537.1401,-435.9639,540.8468,1,1
SB_A05: -1077.528,-1024.86,-702.9639,-909.1535,0,2
SB_A06: -1361.525,-1026.86,-867.9641,-942.1532,0,2
SB_A07: -2075.525,-913.8607,-1423.963,-735.1535,1,2
SB_A08: -2029.525,-793.8596,-1343.963,-525.1532,2,2
SB_A09: -1200.119,982.8484,-749.849,888.4939,1,0
SB_A10: -763.2395,1227.475,-437.9881,1119.635,1,0
SB_A11: -583.4667,392.8415,-352.8971,257.5425,1,1
SB_A12: 17.53368,395.8415,82.10303,244.5428,1,1
SB_A13: -897.9476,537.4584,-545.7869,539.4159,1,1
SB_A14: -536.386,-839.9802,-344.6816,-699.075,1,2
SB_B01: -283.5282,418.1402,-221.9643,254.847,1,1
SB_B02: 83.47169,516.1404,78.03579,383.8467,2,1
SB_B03: -2192.527,-742.8596,-1489.963,-533.1532,1,2
SB_C01: -313.5282,511.1404,-237.9643,391.8467,2,1
SB_C05: 218.4715,98.14019,226.0359,87.84623,2,0
SB_C06: 468.4714,429.1405,370.0354,345.8467,2,0
SB_C07: 2551.473,672.1404,1756.037,486.8463,0,1
SB_C08: -2142.467,-1433.266,-1639.697,-1095.297,1,2
SB_C09: -209.4679,-1558.266,-249.6967,-1268.297,1,2
SB_D01: -2594.153,-1386.226,-1872.495,-1097.71,1,2
SB_D02: -935.5286,-840.8596,-769.9641,-694.1535,1,2
SB_D03: -2573.527,-814.8596,-1935.963,-539.1532,1,2
SB_D04: 741.4718,428.1402,600.035,190.8465,2,3
SB_D05: -1398.525,-917.8607,-1052.964,-825.1535,0,2
SB_D06: 214.4715,-611.8596,222.0358,-606.1543,2,0
SB_D07: -2878.527,-1096.861,-1981.963,-978.1532,1,2
SB_E01: -1486.153,-1428.226,-1323.495,-1097.71,1,2
SB_E02: 3150.473,785.1404,2104.036,697.8465,1,1
SB_E03: -1625.525,-834.8596,-1309.961,-693.1535,1,2
SB_E04: 430.4714,668.1404,169.0359,628.8465,1,1
SB_E05: -60.52849,-839.8596,-176.9641,-742.1535,1,2
SB_E06: -700.1549,-1439.226,-800.4957,-1102.71,1,2
SB_F01: 1297.475,440.1402,871.0373,151.8465,2,3
SB_F02: 502.4714,125.1403,360.0357,60.84631,2,3
SB_F03: -941.5049,1165.944,-575.1101,864.0415,1,0
SB_G02: 4077.473,785.1404,2672.036,697.8465,1,1
SB_G03: 1448.475,684.1404,717.035,632.8465,1,1
SB_H02: -345.5284,623.1404,-309.9643,555.8465,1,1
SB_H03: -969.5288,738.1404,-749.9641,631.8465,1,1
SB_I01: 400.4716,-232.8597,244.0358,-249.1532,2,3
SB_J01: 2369.473,722.1404,1456.037,624.8465,1,1
SB_J02: 3161.473,592.1404,2101.036,402.8467,0,1
SB_J03: 2488.473,524.1401,1599.037,255.8467,1,0
SB_J04: -1415.525,-745.8596,-1118.964,-531.1535,2,2
SB_L01: 199.8451,-1797.226,-113.4957,-1434.71,1,2
SB_S01: 399.6288,-65.5064,108.6618,22.94391,1,0
SB_S02: 3020.363,455.7057,2422.695,119.1687,1,0
SB_S03: 467.7469,424.5583,475.7124,447.8915,2,0
SB_S04: 727.4701,707.7307,596.2458,556.9297,2,0
SB_S05: 4678.797,787.8514,3424.188,698.1084,1,0
SB_S06: -1348.386,688.0198,-875.6818,641.925,1,0
SB_S07: -340.2335,304.8332,-201.7833,122.4334,1,0
OffScreenDen_SB: -369.5284,-170.8597,738.035,39.84616,1,1
Connection: GATE_DS_SB,SB_D04,11,5,42,142,3,0
Connection: GATE_LF_SB,SB_F03,2,9,50,209,2,0
Connection: GATE_SB_SL,SB_G02,11,19,322,1,1,3
Connection: SB_A01,SB_A04,3,17,48,6,2,0
Connection: SB_A01,SB_A11,6,4,5,21,3,1
Connection: SB_A01,SB_C01,48,7,5,4,0,3
Connection: SB_A02,SB_J04,3,29,252,55,2,0
Connection: SB_A02,SB_D02,11,6,133,8,3,3
Connection: SB_A03,SB_E04,46,31,27,8,1,3
Connection: SB_A03,SB_H02,3,11,199,21,2,0
Connection: SB_A03,SB_A12,40,3,41,29,3,0
Connection: SB_A04,SB_H02,48,27,11,20,0,2
Connection: SB_A04,SB_A13,3,25,45,25,2,0
Connection: SB_A05,SB_D02,41,32,74,5,1,3
Connection: SB_A05,SB_D05,2,32,186,3,2,0
Connection: SB_A06,SB_D05,4,30,95,2,2,0
Connection: SB_A06,SB_J04,43,33,165,10,1,3
Connection: SB_A07,SB_B03,5,33,43,3,1,3
Connection: SB_A07,SB_E03,45,30,3,6,0,2
Connection: SB_A08,SB_B03,3,11,44,16,2,0
Connection: SB_A08,SB_J04,44,3,8,8,0,2
Connection: SB_A09,SB_F03,45,16,13,56,0,2
Connection: SB_A09,SB_H03,6,3,7,72,3,2
Connection: SB_A10,SB_F03,5,12,47,139,2,3
Connection: SB_A11,SB_B01,45,16,8,13,0,3
Connection: SB_A12,SB_B01,3,9,96,2,2,3
Connection: SB_A14,SB_D02,3,24,200,24,2,0
Connection: SB_A14,SB_E05,48,18,2,18,0,2
Connection: SB_B01,SB_S07,34,19,24,16,3,1
Connection: SB_B02,SB_C01,7,7,138,10,3,3
Connection: SB_B02,SB_C05,104,9,27,110,3,1
Connection: SB_B03,SB_J04,44,55,3,54,0,2
Connection: SB_B03,SB_D03,1,19,195,22,2,0
Connection: SB_C05,SB_I01,25,17,16,115,3,1
Connection: SB_C06,SB_E04,25,115,128,5,1,3
Connection: SB_C06,SB_S03,39,76,39,24,3,1
Connection: SB_C06,SB_F02,19,20,21,116,3,1
Connection: SB_C07,SB_J02,146,6,5,49,0,2
Connection: SB_C07,SB_J01,19,8,175,8,3,3
Connection: SB_C08,SB_D01,3,5,95,11,2,0
Connection: SB_C08,SB_E01,149,5,3,5,0,2
Connection: SB_C09,SB_E06,5,99,263,17,2,0
Connection: SB_C09,SB_L01,47,23,3,106,0,2
Connection: SB_D01,SB_D07,2,65,40,11,2,0
Connection: SB_D02,SB_E03,3,5,251,6,2,0
Connection: SB_D03,SB_D07,14,3,37,145,3,1
Connection: SB_D04,SB_S04,2,146,11,13,1,2
Connection: SB_D04,SB_F02,3,10,98,97,2,0
Connection: SB_D05,SB_E03,10,3,141,7,2,0
Connection: SB_D06,SB_I01,23,144,13,16,3,3
Connection: SB_D06,SB_E05,26,15,224,17,3,1
Connection: SB_E01,SB_E06,245,5,5,7,0,2
Connection: SB_E02,SB_G02,247,26,3,25,0,2
Connection: SB_E02,SB_J01,4,7,239,43,2,0
Connection: SB_E02,SB_J02,11,2,7,69,3,1
Connection: SB_E04,SB_H02,5,12,199,47,2,0
Connection: SB_E04,SB_G03,244,12,6,5,0,2
Connection: SB_F01,SB_G03,95,94,174,7,0,3
Connection: SB_F01,SB_J03,70,73,4,19,3,2
Connection: SB_F01,SB_I01,10,12,146,115,3,1
Connection: SB_F02,SB_I01,10,12,68,117,3,1
Connection: SB_F03,SB_H03,41,16,130,75,3,2
Connection: SB_G02,SB_S05,354,7,14,6,0,2
Connection: SB_G03,SB_J01,347,5,10,8,0,2
Connection: SB_H02,SB_H03,6,47,196,9,2,0
Connection: SB_H03,SB_S06,4,9,35,4,2,0
Connection: SB_I01,SB_S01,84,117,32,25,1,0
Connection: SB_J02,SB_J03,232,68,500,34,1,1
Connection: SB_J03,SB_S02,423,10,11,17,2,1
