GATE_SI_CC: 2236.154,245.9529,1847.354,365.1809,1,0
GATE_SI_LF: -559.8469,-777.0472,-410.647,-805.8188,0,0
SI_A02: 252.2301,-266.7892,327.5273,-318.6382,0,1
SI_A06: 565.2304,754.2106,489.5273,920.3618,1,2
SI_A07: 566.2304,878.2106,490.5273,1086.362,1,2
SI_A17: -1006.768,42.21057,-701.4731,70.36168,2,1
SI_A18: -702.7696,39.21057,-454.4729,67.36168,2,1
SI_A20: 1286.909,211.5011,1086.657,210.878,2,1
SI_A21: 1426.909,211.5011,1224.657,214.878,2,1
SI_A23: 67.23059,-267.7892,171.5271,-330.6382,0,1
SI_A27: 550.2304,105.2107,573.5269,27.36172,2,1
SI_A28: -803.7588,-328.1353,-582.6468,-241.8191,2,1
SI_B01: 1364.232,217.2108,1095.528,355.3618,1,1
SI_B02: 556.2304,382.2108,430.5273,501.3616,1,2
SI_B03: -1222.768,-216.7892,-940.4731,-380.6382,0,1
SI_B04: 563.2304,571.2106,490.5273,666.3618,1,2
SI_B09: 577.2307,-175.7892,489.5273,-286.6382,1,1
SI_B10: 495.2305,-40.78947,440.5273,-54.63823,2,1
SI_B11: -868.7693,-113.7892,-721.4731,-201.6381,0,1
SI_B12: -1224.768,24.2106,-948.4731,-111.6384,0,1
SI_B13: -618.2291,-603.681,-526.5508,-673.0422,0,1
SI_C01: -311.7699,37.21066,-330.4727,202.3617,1,1
SI_C02: -841.7693,45.21057,-691.4731,198.3617,1,1
SI_C03: 951.2307,218.2108,724.5269,346.3618,1,1
SI_C04: 174.2302,36.21066,56.52719,202.3617,1,1
SI_C05: -853.7693,-87.78923,-583.4731,-124.6381,2,1
SI_C06: 644.2307,-20.78935,716.5269,-147.6381,2,1
SI_C07: -853.7693,288.2108,-584.4731,325.3618,1,1
SI_C08: -276.7694,-278.7892,-267.4727,-337.6382,0,1
SI_C09: -1225.542,-543.6592,-962.8321,-695.3188,0,1
SI_D01: 552.2304,150.2107,425.5273,227.3619,1,1
SI_D03: 1846.232,231.2108,1420.528,351.3616,1,1
SI_D05: -626.7698,-114.7892,-451.4727,-165.6383,0,1
SI_D06: -833.7693,-274.7892,-802.4731,-341.6382,0,1
SI_D07: -912.8408,-604.0284,-790.6526,-674.3022,0,1
SI_S03: -643.4579,-867.2416,-528.6471,-875.4302,0,0
SI_S04: -705.3784,-64.03099,-329.726,53.33297,2,0
SI_S05: 440.6207,101.969,295.2742,23.33296,2,0
OffScreenDen_SI: -22.76942,855.2106,-1187.472,351.3616,1,1
Connection: GATE_SI_CC,SI_D03,2,9,192,17,2,0
Connection: GATE_SI_LF,SI_B13,11,19,48,46,1,3
Connection: GATE_SI_LF,SI_S03,11,5,32,23,3,0
Connection: SI_A02,SI_B09,45,13,16,10,3,3
Connection: SI_A02,SI_A23,6,13,28,6,3,3
Connection: SI_A06,SI_A07,21,33,23,7,1,3
Connection: SI_A06,SI_B04,23,8,24,72,3,3
Connection: SI_A17,SI_C02,43,10,53,9,0,2
Connection: SI_A17,SI_C05,13,2,10,88,3,3
Connection: SI_A18,SI_C02,4,10,100,9,2,0
Connection: SI_A18,SI_C05,21,1,43,88,3,3
Connection: SI_A18,SI_S04,27,4,28,30,3,1
Connection: SI_A20,SI_A21,41,17,3,17,0,2
Connection: SI_A20,SI_B01,17,11,17,7,3,1
Connection: SI_A23,SI_C08,27,30,141,36,3,0
Connection: SI_A27,SI_D01,18,33,49,49,1,3
Connection: SI_A27,SI_S05,9,8,31,9,2,0
Connection: SI_A27,SI_C06,38,6,16,92,0,2
Connection: SI_A28,SI_C05,6,27,29,24,1,3
Connection: SI_A28,SI_D06,41,27,129,13,1,3
Connection: SI_B01,SI_C03,8,10,138,6,3,3
Connection: SI_B01,SI_D03,101,10,24,6,3,3
Connection: SI_B02,SI_B04,80,15,39,19,2,3
Connection: SI_B02,SI_D01,5,21,17,67,3,3
Connection: SI_B03,SI_B12,29,72,31,8,2,3
Connection: SI_B03,SI_D06,49,14,3,11,0,2
Connection: SI_B03,SI_C09,7,11,14,104,3,2
Connection: SI_B09,SI_C06,93,10,43,14,2,0
Connection: SI_B09,SI_B10,11,5,8,15,3,2
Connection: SI_B10,SI_D01,36,75,45,18,1,0
Connection: SI_B10,SI_C04,5,49,139,5,2,0
Connection: SI_B11,SI_D05,35,50,23,60,1,3
Connection: SI_B11,SI_D06,11,7,77,33,3,1
Connection: SI_B13,SI_D07,9,69,102,70,2,0
Connection: SI_C01,SI_C02,29,9,150,7,3,3
Connection: SI_C01,SI_C04,137,9,15,5,3,2
Connection: SI_C02,SI_C07,68,7,12,18,3,3
Connection: SI_C03,SI_D01,15,5,86,52,2,0
Connection: SI_C04,SI_D01,139,36,15,22,0,3
Connection: SI_C08,SI_D05,15,36,87,7,2,3
Connection: SI_C08,SI_D06,4,15,197,12,2,0
Connection: SI_C09,SI_D07,50,71,9,71,1,1
Connection: SI_D05,SI_D06,9,12,126,13,2,3
